id,category,sub_category,title,content
17,선수계약,FA,FA 등급제 분류 기준,"최근 3년간 평균 연봉 및 전체 연봉 순위에 따라 A, B, C 등급으로 분류하며, 등급에 따라 보상 규모와 보호 선수 숫자가 달라진다."
18,선수계약,FA,FA A등급 보상 규정,"A등급 선수를 영입한 구단은 전 소속 구단에 보호선수 20명 외 1명과 전년도 연봉의 200%, 혹은 전년도 연봉의 300%를 보상해야 한다."
19,선수계약,FA,FA C등급 보상 규정,"C등급 선수를 영입한 구단은 보상 선수 없이 전년도 연봉의 150%만 보상하면 된다."
20,경기운영,포스트시즌,와일드카드 결정전 운영 방식,"정규시즌 4위팀과 5위팀이 맞붙으며, 4위팀은 1승 또는 1무승부 시 준플레이오프에 진출하고 5위팀은 2승을 거둬야 진출한다."
21,경기운영,포스트시즌,준플레이오프 및 플레이오프 제도,"준플레이오프(3위 vs 와일드카드 승자)와 플레이오프(2위 vs 준플 승자)는 5판 3선승제로 운영된다."
22,경기운영,포스트시즌,한국시리즈 우승 결정,"정규시즌 1위팀과 플레이오프 승리팀이 7판 4선승제로 경기를 치러 최종 우승팀을 결정한다."
23,경기운영,서스펜디드,서스펜디드 게임 선언 조건,"조명 시설 고장, 강우 등으로 경기를 지속할 수 없으나 득점 등 기록이 유효한 시점에서 중단될 경우 서스펜디드 게임을 선언하고 추후 재개한다."
24,경기운영,강우콜드,강우 콜드게임 성립 요건,"5회말 홈팀 공격이 끝났거나 5회초 원정팀 공격 종료 시점에 홈팀이 앞서고 있을 때 경기가 중단되면 콜드게임으로 성립된다."
25,선수단관리,트레이드,트레이드 마감 시한,"선수 간 트레이드는 매년 7월 31일까지 가능하며, 이 기한이 지난 후 영입한 선수는 당해 포스트시즌에 출전할 수 없다."
26,선수단관리,트레이드,현금 포함 트레이드 승인 권한,"트레이드에 현금이 포함될 경우 총재의 사전 승인을 받아야 하며, 구단 간의 불공정 거래 여부를 심사할 수 있다."
27,경기규칙,베이스러닝,수비 방해(Interference) 정의,"주자가 수비를 방해할 목적으로 야수와 접촉하거나 송구 진로를 방해할 경우 수비 방해로 간주되어 아웃 처리된다."
28,경기규칙,베이스러닝,주로 이탈 규정,"주자가 태그를 피하기 위해 베이스 연결 직선으로부터 좌우 3피트(약 91cm) 이상 벗어날 경우 아웃을 선언한다."
29,조직운영,총재,KBO 총재의 권한과 직무,"총재는 KBO를 대표하며 리그 운영 전반에 대한 최종 결정권을 가진다. 규약 해석의 충돌 시 총재의 해석이 우선한다."
30,조직운영,상벌위원회,선수 징계 절차,"사회적 물의(음주운전, 도박, 폭행 등)를 일으킨 선수는 상벌위원회에 회부되며, 위원회는 출장 정지 또는 벌금 징계를 결정한다."
31,경기운영,연장전,정규시즌 연장전 제한,"정규시즌 경기는 12회초/말까지 진행하며, 12회 종료 시까지 승부가 나지 않을 경우 무승부로 기록한다."
32,경기운영,연장전,포스트시즌 연장전 무제한 규정,"포스트시즌 경기는 승부가 날 때까지 연장전을 진행하며, 단 시간 제한이나 구장 사정에 따라 서스펜디드 게임이 될 수 있다."
33,경기규칙,투수,보크(Balk) 판정 기준,"투수가 투구 동작 중 정지 동작을 지키지 않거나, 1루 견제 시 베이스 방향으로 발을 직접 내딛지 않을 경우 보크를 선언하고 주자를 한 베이스 보낸다."
34,경기규칙,투수,이물질 사용 금지 규정,"투수는 공에 침을 바르거나 이물질을 묻혀서는 안 되며, 적발 시 즉시 퇴장 및 10경기 출장 정지 징계를 받는다."
35,선수계약,육성선수,육성선수의 정의 및 계약,"프로 지명을 받지 못한 선수나 방출 선수 중 장래성이 있는 선수는 육성선수로 계약할 수 있으며, 5월 1일부터 정식 선수 등록이 가능하다."
36,선수계약,웨이버,웨이버 공시 절차,"구단이 계약 기간 중 선수를 방출하고자 할 때 웨이버 공시를 하며, 7일 이내에 타 구단이 영입 의사를 밝히지 않으면 자유계약선수가 된다."
37,경기운영,더블헤더,더블헤더 개최 조건,"강우 취소 경기가 많을 경우 주말 또는 특정일에 하루 2경기를 치르는 더블헤더를 편성할 수 있다."
38,경기운영,더블헤더,더블헤더 엔트리 특례,"더블헤더 진행 시 체력 부담을 고려하여 해당 일에만 사용 가능한 1명의 추가 엔트리 등록을 허용한다."
39,경기규칙,타자,부정 배트 사용 금지,"속을 파내거나 이물질을 채운 배트, 혹은 KBO 인증을 받지 않은 배트를 사용하다 적발될 경우 해당 타자는 퇴장 조치된다."
40,선수단관리,신인드래프트,신인 드래프트 지명 순서,"전년도 정규시즌 성적의 역순(최하위팀부터)으로 지명을 진행하며, 전면 드래프트 방식으로 11라운드까지 선발한다."
41,선수계약,연봉,최저 연봉 규정,"KBO 리그 1군 등록 선수의 최저 연봉은 3,000만 원으로 규정하며, 이는 리그 환경에 따라 상향 조정될 수 있다."
42,선수계약,연봉,연봉 조정 신청,"선수와 구단 간 연봉 협상이 결렬될 경우, 총재에게 연봉 조정을 신청할 수 있으며 조정위원회의 결정이 최종 구속력을 갖는다."
43,경기운영,몰수경기,몰수경기 선언 사유,"특정 팀이 경기 시작 30분 후에도 출장하지 않거나, 심판의 지시에 불응하여 경기를 거부할 경우 상대팀의 9:0 승리로 처리한다."
44,경기운영,클리닝타임,5회 종료 후 구장 정비,"5회말 종료 후 양 팀 선수는 휴식을 취하며 구장 관리 요원은 그라운드를 정비한다. 이 시간을 클리닝 타임이라고 한다."
45,경기규칙,수비,인필드 플라이(Infield Fly) 선언,"무사 또는 1사 주자 1,2루 혹은 만루 상황에서 내야수가 평범하게 잡을 수 있는 뜬공이 발생할 경우, 심판은 인필드 플라이를 선언하여 타자를 즉시 아웃 처리한다."
46,경기규칙,수비,낫아웃(Uncaught Third Strike) 규정,"2스트라이크 이후 투구가 바운드되거나 포수가 놓친 경우, 1루에 주자가 없거나 2사 상황이라면 타자는 1루로 뛸 권리를 갖는다."
47,경기규칙,투수,의무 투구 수 제한(퓨처스),"퓨처스 리그에서는 유망주 보호를 위해 투수의 연투 제한 및 경기당 최대 투구 수 가이드라인을 운영할 수 있다."
48,선수단관리,군복무,군보류 선수 규정,"군 복무를 위해 팀을 떠나는 선수는 군보류 선수로 분류되어 엔트리에서 제외되며, 복무 기간 동안은 연봉 지급 의무가 중지된다."
49,경기운영,속구측정,구속 측정 공식 기록화,"각 구장에 설치된 추적 장비에 의해 측정된 구속은 중계 및 기록지에 활용되나, 공식적인 승패 기록만큼의 법적 구속력을 갖지는 않는다."
50,선수계약,에이전트,공인 에이전트 제도,"선수는 한국프로야구선수협회가 승인한 공인 에이전트를 통해서만 연봉 협상 및 FA 계약 대리 업무를 수행할 수 있다."
51,경기운영,전력분석,경기 중 전자기기 사용 금지,"더그아웃 내에서 태블릿 PC, 스마트폰 등 통신 기능이 있는 전자기기를 사용하여 외부와 소통하거나 실시간 데이터를 분석하는 행위를 금지한다."
52,선수단관리,도핑,도핑 테스트 및 금지 약물,"KBO는 모든 선수를 대상으로 수시 도핑 테스트를 실시하며, 금지 약물 양성 반응 시 최소 30경기 이상의 출장 정지 징계를 내린다."
