id,category,sub_category,title,content
37,K8s,API,Admission Controller의 검증 및 변조,"API 요청이 DB에 저장되기 전 가로채어 정책 위반 여부를 검토(Validating)하거나 필요한 설정을 자동으로 추가(Mutating)하는 컴포넌트다."
38,K8s,모니터링,Prometheus Metrics 수집 원리,"각 Pod나 서비스가 /metrics 엔드포인트를 노출하면, 프로메테우스 서버가 HTTP 호출(Pull 방식)을 통해 지표 데이터를 정기적으로 수집한다."
39,K8s,모니터링,Node Exporter를 통한 호스트 지표 확인,"컨테이너가 아닌 물리/가상 노드의 CPU, 디스크, 네트워크 사용량을 측정하여 K8s 제어부와 연동하기 위해 모든 노드에 배치한다."
40,K8s,로그관리,EFK 스택의 구성 요소,"Fluentd(수집)가 노드별 로그를 읽어 Elasticsearch(저장/검색)로 보내고, 사용자는 Kibana(시각화)를 통해 로그를 분석하는 통합 로그 관리 아키텍처다."
41,K8s,네트워크,CNI(Container Network Interface)의 역할,"다양한 네트워크 솔루션(Calico, Flannel, VPC CNI 등)이 K8s 표준 인터페이스를 통해 Pod 간 통신을 구현하고 IP를 할당하게 해준다."
42,K8s,보안,SecurityContext를 통한 권한 제어,"Pod나 컨테이너 레벨에서 실행 사용자 ID(UID), 그룹 ID(GID), 파일 시스템 권한, 특수 권한(Privileged) 사용 여부를 설정한다."
43,Docker,운영,Docker 소켓(/var/run/docker.sock) 노출 위험,"호스트의 Docker 소켓을 컨테이너에 마운트하면 해당 컨테이너가 호스트 전체를 제어할 수 있는 보안 취약점이 발생하므로 지양해야 한다."
44,K8s,리소스관리,CPU Throttling과 Limit의 관계,"CPU 사용량이 Limit에 도달하면 프로세스가 강제 종료(OOM)되지 않고 일시적으로 느려지며(Throttling), 이는 서비스 응답 지연의 원인이 된다."
45,K8s,스케줄링,Preemption과 우선순위(PriorityClass),"클러스터 자원이 부족할 때 높은 우선순위의 Pod가 낮은 우선순위의 Pod를 퇴출(Evict)시키고 자원을 점유하는 메커니즘이다."
46,K8s,워크로드,Job과 CronJob의 차이점,"Job은 특정 작업을 한 번 성공적으로 완료할 때까지 실행하며, CronJob은 리눅스의 crontab처럼 정해진 주기마다 반복적으로 Job을 생성한다."
47,K8s,스토리지,EmptyDir 볼륨의 데이터 휘발성,"Pod 내 컨테이너들 간의 임시 데이터 공유를 위해 사용하며, Pod가 삭제되거나 노드에서 퇴출될 때 해당 데이터도 함께 삭제된다."
48,K8s,네트워크,LoadBalancer 서비스의 외부 IP 할당,"클라우드 제공업체의 로드 밸런서(AWS ELB 등)와 연동하여 외부에서 접근 가능한 공인 IP를 자동으로 할당받는 서비스 타입이다."
49,K8s,트러블슈팅,Node NotReady 상태 진단,"노드 커널 이슈, Kubelet 프로세스 다운, 혹은 디스크 공간 부족(DiskPressure) 등의 사유로 제어부와 연결이 끊긴 상태다."
50,K8s,보안,Pod Security Admission(PSA) 표준,"네임스페이스 단위로 Privileged, Baseline, Restricted 중 하나의 정책을 적용하여 보안 수준을 강제하는 최신 표준 방식이다."
51,K8s,네트워크,ExternalName 서비스의 활용,"클러스터 내부 도메인을 외부 도메인(예: RDS 주소)으로 CNAME 연결하여, 앱 코드 수정 없이 외부 DB 주소를 변경할 때 사용한다."
52,K8s,생명주기,TerminationGracePeriodSeconds 설정,"Pod 종료 신호를 받은 후 프로세스가 안전하게 정리(Graceful Shutdown)될 수 있도록 대기하는 시간을 초 단위로 설정한다."
